pr,ease,t_ms,seamI_deg,seamO_deg,inner_rMin,inner_rMax,outer_rMin,outer_rMax,03 - Resources_arcFrac,03 - Resources_alphaFrac,00 - Inbox_arc,00 - Inbox_noteArc,01 - Projects_arc,01 - Projects_noteArc,02 - Areas_arc,02 - Areas_noteArc,04 - Daily Notes_arc,04 - Daily Notes_noteArc,05 - Meeting Notes_arc,05 - Meeting Notes_noteArc,06 - Zettelkasten_arc,06 - Zettelkasten_noteArc,07 - Weekly Reviews_arc,07 - Weekly Reviews_noteArc,08 - Archive_arc,08 - Archive_noteArc,09 - Maps of Content_arc,09 - Maps of Content_noteArc,10 - Literature Notes_arc,10 - Literature Notes_noteArc,11 - Clippings_arc,11 - Clippings_noteArc,12 - Journal_arc,12 - Journal_noteArc,13 - Someday Maybe_arc,13 - Someday Maybe_noteArc,14 - Reading List_arc,14 - Reading List_noteArc,15 - Courses_arc,15 - Courses_noteArc,(vault root)_arc,(vault root)_noteArc
0.0000,0.0000,0,10.69,6.17,1105.9,1754.4,2656.7,3936.7,1,1,3.3,3,65.9,62.7,47.7,44.7,53.4,50.8,131.6,128.8,65.9,63.3,32.7,29.8,77,73.3,48.7,49.7,11.4,10.7,24.4,25.4,12.3,12.8,3.3,3.1,3.3,2.3,52.7,47.2,3.3,2.7
0.0020,0.0000,9.9,10.69,6.17,1105.9,1754.4,2656.7,3936.7,1,1,3.3,3,65.9,62.7,47.7,44.7,53.4,50.8,131.6,128.8,65.9,63.3,32.7,29.8,77,73.3,48.7,49.7,11.4,10.7,24.4,25.4,12.3,12.8,3.3,3.1,3.3,2.3,52.7,47.2,3.3,2.7
0.0030,0.0000,18.8,10.69,6.17,1105.9,1754.4,2656.7,3936.7,1,1,3.3,3,65.9,62.7,47.7,44.7,53.4,50.8,131.6,128.8,65.9,63.3,32.7,29.8,77,73.3,48.7,49.7,11.4,10.7,24.4,25.4,12.3,12.8,3.3,3.1,3.3,2.3,52.7,47.2,3.3,2.7
0.0050,0.0001,35.5,10.69,6.17,1105.9,1754.4,2656.7,3936.7,1,1,3.3,3,65.9,62.7,47.7,44.7,53.4,50.8,131.6,128.8,65.9,63.3,32.7,29.8,77,73.3,48.7,49.7,11.4,10.7,24.4,25.4,12.3,12.8,3.3,3.1,3.3,2.3,52.7,47.2,3.3,2.7
0.0070,0.0001,52.4,10.69,6.17,1105.9,1754.4,2656.7,3936.7,1,1,3.3,3,65.9,62.7,47.7,44.7,53.4,50.8,131.6,128.8,65.9,63.3,32.7,29.8,77,73.3,48.7,49.7,11.4,10.7,24.4,25.4,12.3,12.8,3.3,3.1,3.3,2.3,52.7,47.2,3.3,2.7
0.0100,0.0003,68.7,10.69,6.17,1105.9,1754.4,2656.7,3936.7,1,1,3.3,3,65.9,62.7,47.7,44.7,53.4,50.8,131.6,128.8,65.9,63.3,32.7,29.8,77,73.3,48.7,49.7,11.4,10.7,24.4,25.4,12.3,12.8,3.3,3.1,3.3,2.3,52.7,47.2,3.3,2.7
0.0130,0.0005,85.7,10.69,6.17,1105.9,1754.4,2656.7,3936.7,1,1,3.3,3,65.9,62.7,47.7,44.7,53.4,50.8,131.6,128.8,65.9,63.3,32.7,29.8,77,73.3,48.7,49.7,11.4,10.7,24.4,25.4,12.3,12.8,3.3,3.1,3.3,2.3,52.7,47.2,3.3,2.7
0.0150,0.0007,102.2,10.69,6.17,1105.9,1754.4,2656.7,3936.7,1,1,3.3,3,65.9,62.7,47.7,44.7,53.4,50.8,131.6,128.8,65.9,63.3,32.7,29.8,77,73.3,48.7,49.7,11.4,10.7,24.4,25.4,12.3,12.8,3.3,3.1,3.3,2.3,52.7,47.2,3.3,2.7
0.0180,0.0010,118.9,10.69,6.17,1105.9,1754.5,2656.7,3936.7,1,1,3.3,3,65.9,62.7,47.7,44.7,53.4,50.8,131.6,128.8,65.9,63.3,32.7,29.8,77,73.3,48.7,49.7,11.4,10.7,24.4,25.4,12.3,12.8,3.3,3.1,3.3,2.3,52.7,47.2,3.3,2.7
0.0200,0.0012,135.7,10.69,6.17,1105.9,1754.5,2656.7,3936.7,1,1,3.3,3,65.9,62.7,47.7,44.7,53.4,50.8,131.6,128.8,65.9,63.3,32.7,29.8,77,73.3,48.7,49.7,11.4,10.7,24.4,25.4,12.3,12.8,3.3,3.1,3.3,2.3,52.7,47.2,3.3,2.7
0.0230,0.0016,152,10.69,6.17,1105.9,1754.5,2656.7,3936.7,1,1,3.3,3,65.9,62.7,47.7,44.7,53.4,50.8,131.6,128.8,65.9,63.3,32.7,29.8,77,73.3,48.7,49.7,11.4,10.7,24.4,25.4,12.3,12.8,3.3,3.1,3.3,2.3,52.7,47.2,3.3,2.7
0.0260,0.0020,168.8,10.69,6.17,1105.9,1754.5,2656.7,3936.7,1,1,3.3,3,65.9,62.7,47.7,44.7,53.4,50.8,131.6,128.8,65.9,63.3,32.7,29.8,77,73.3,48.7,49.7,11.4,10.7,24.4,25.4,12.3,12.8,3.3,3.1,3.3,2.3,52.7,47.2,3.3,2.7
0.0280,0.0023,185.7,10.69,6.17,1105.9,1754.6,2656.7,3936.7,1,1,3.3,3,65.9,62.7,47.7,44.7,53.4,50.8,131.6,128.8,65.9,63.3,32.7,29.8,77.1,73.3,48.7,49.7,11.4,10.7,24.4,25.4,12.3,12.8,3.3,3.1,3.3,2.3,52.7,47.2,3.3,2.7
0.0310,0.0028,202,10.69,6.17,1105.9,1754.6,2656.7,3936.7,1,0.999,3.3,3,65.9,62.7,47.7,44.7,53.4,50.8,131.6,128.8,65.9,63.3,32.7,29.8,77.1,73.3,48.7,49.7,11.4,10.7,24.4,25.4,12.3,12.8,3.3,3.1,3.3,2.3,52.7,47.2,3.3,2.7
0.0330,0.0032,219.2,10.69,6.17,1105.9,1754.6,2656.7,3936.7,0.999,0.999,3.3,3,65.9,62.7,47.7,44.7,53.4,50.8,131.6,128.8,65.9,63.3,32.7,29.8,77.1,73.3,48.7,49.7,11.4,10.7,24.4,25.4,12.3,12.8,3.3,3.1,3.3,2.3,52.8,47.2,3.3,2.7
0.0360,0.0038,235.7,10.69,6.17,1105.9,1754.7,2656.7,3936.7,0.999,0.999,3.3,3,65.9,62.7,47.7,44.7,53.4,50.8,131.6,128.8,65.9,63.3,32.7,29.8,77.1,73.3,48.7,49.7,11.4,10.7,24.4,25.4,12.3,12.8,3.3,3.1,3.3,2.3,52.8,47.2,3.3,2.7
0.0390,0.0044,252.3,10.71,6.17,1105.9,1754.7,2656.7,3936.7,0.999,0.999,3.3,3,65.9,62.7,47.7,44.7,53.4,50.8,131.6,128.8,65.9,63.3,32.7,29.8,77.1,73.3,48.7,49.7,11.4,10.7,24.4,25.5,12.3,12.8,3.3,3.1,3.3,2.3,52.8,47.2,3.3,2.7
0.0410,0.0049,268.8,10.71,6.17,1105.9,1754.8,2656.7,3936.7,0.999,0.999,3.3,3,65.9,62.7,47.7,44.7,53.4,50.8,131.6,128.8,65.9,63.3,32.7,29.8,77.1,73.3,48.7,49.7,11.4,10.7,24.4,25.5,12.3,12.8,3.3,3.1,3.3,2.3,52.8,47.2,3.3,2.7
0.0440,0.0056,285.7,10.71,6.17,1105.9,1754.8,2656.7,3936.7,0.999,0.999,3.3,3,65.9,62.7,47.7,44.7,53.4,50.8,131.6,128.8,65.9,63.3,32.7,29.8,77.1,73.4,48.7,49.7,11.4,10.7,24.4,25.5,12.3,12.8,3.3,3.1,3.3,2.3,52.8,47.2,3.3,2.7
0.0460,0.0062,302.4,10.71,6.17,1105.9,1754.9,2656.7,3936.7,0.999,0.998,3.3,3,65.9,62.7,47.7,44.7,53.4,50.8,131.6,128.8,65.9,63.3,32.7,29.8,77.1,73.4,48.8,49.7,11.4,10.7,24.4,25.5,12.3,12.8,3.3,3.1,3.3,2.3,52.8,47.2,3.3,2.7
0.0490,0.0070,318.7,10.71,6.17,1105.9,1755,2656.7,3936.7,0.998,0.998,3.3,3,65.9,62.7,47.7,44.7,53.5,50.8,131.6,128.8,65.9,63.3,32.7,29.8,77.1,73.4,48.8,49.7,11.4,10.7,24.4,25.5,12.3,12.8,3.3,3.1,3.3,2.3,52.8,47.2,3.3,2.7
0.0520,0.0078,335.8,10.71,6.17,1105.9,1755,2656.7,3936.7,0.998,0.998,3.3,3,65.9,62.7,47.7,44.7,53.5,50.8,131.6,128.8,65.9,63.3,32.7,29.8,77.1,73.4,48.8,49.7,11.4,10.7,24.4,25.5,12.3,12.8,3.3,3.1,3.3,2.3,52.8,47.2,3.3,2.7
