pr,ease,t_ms,seamI_deg,seamO_deg,inner_rMin,inner_rMax,outer_rMin,outer_rMax,00 - Inbox_arcFrac,00 - Inbox_alphaFrac,01 - Projects_arcFrac,01 - Projects_alphaFrac,02 - Areas_arcFrac,02 - Areas_alphaFrac,04 - Daily Notes_arcFrac,04 - Daily Notes_alphaFrac,05 - Meeting Notes_arcFrac,05 - Meeting Notes_alphaFrac,06 - Zettelkasten_arcFrac,06 - Zettelkasten_alphaFrac,07 - Weekly Reviews_arcFrac,07 - Weekly Reviews_alphaFrac,08 - Archive_arcFrac,08 - Archive_alphaFrac,09 - Maps of Content_arcFrac,09 - Maps of Content_alphaFrac,10 - Literature Notes_arcFrac,10 - Literature Notes_alphaFrac,11 - Clippings_arcFrac,11 - Clippings_alphaFrac,12 - Journal_arcFrac,12 - Journal_alphaFrac,13 - Someday Maybe_arcFrac,13 - Someday Maybe_alphaFrac,14 - Reading List_arcFrac,14 - Reading List_alphaFrac,15 - Courses_arcFrac,15 - Courses_alphaFrac,(vault root)_arcFrac,(vault root)_alphaFrac,03 - Resources_arc,03 - Resources_noteArc
0.0000,0.0000,0,10.69,6.17,1105.9,1754.4,2656.7,3936.7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,64.9,61.1
0.0030,0.0000,15.5,10.68,6.17,1105.9,1754.4,2656.7,3936.7,0.997,1,1,1,1,1,1.001,1,1,1,1,1,1,1,1.001,1,0.998,1,0.997,1,0.998,1,0.998,1,0.997,0.999,0.997,1,1.001,1,0.997,0.999,65,61.2
0.0050,0.0001,23.6,10.68,6.17,1105.9,1754.4,2656.7,3936.8,0.996,0.999,1,1,1,1,1.001,1,1,1,1,1,1,1,1.001,1,0.997,1,0.995,1,0.997,1,0.997,1,0.996,0.998,0.996,1,1.001,1,0.996,0.998,65,61.2
0.0060,0.0001,37.6,10.67,6.17,1105.9,1754.4,2656.7,3936.8,0.994,0.998,1,1,1,1,1.002,1,1,1,1,1,1,1,1.002,1,0.996,1,0.994,1,0.996,1,0.996,1,0.994,0.997,0.994,1,1.002,1,0.994,0.997,65,61.3
0.0080,0.0002,54.4,10.66,6.17,1105.9,1754.5,2656.7,3936.9,0.992,0.996,1,1,1,1,1.003,1,1,1,1,1,1,1,1.003,1,0.995,1,0.992,1,0.995,1,0.995,0.999,0.992,0.995,0.992,1,1.002,1,0.992,0.995,65.1,61.3
0.0110,0.0004,70.8,10.66,6.17,1105.9,1754.5,2656.7,3937,0.99,0.994,1,0.999,1,1,1.003,1,1,1,1,1,1,1,1.003,1,0.993,1,0.99,0.999,0.993,0.999,0.993,0.998,0.99,0.991,0.99,1,1.003,1,0.99,0.991,65.1,61.3
0.0130,0.0005,87.7,10.65,6.17,1105.9,1754.5,2656.7,3937.2,0.988,0.991,1,0.999,1.001,1,1.004,1,1.001,1,1.001,1,1.001,1,1.004,1,0.991,0.999,0.987,0.999,0.991,0.999,0.991,0.998,0.988,0.986,0.988,1,1.004,1,0.988,0.986,65.2,61.4
0.0160,0.0008,104.4,10.64,6.17,1105.9,1754.6,2656.7,3937.5,0.985,0.987,0.999,0.998,1.001,1,1.005,1,1.001,1,1.001,1,1.001,1,1.005,1,0.989,0.999,0.985,0.999,0.989,0.998,0.989,0.997,0.985,0.98,0.985,1,1.005,1,0.985,0.98,65.2,61.4
0.0190,0.0011,121.2,10.63,6.17,1105.9,1754.7,2656.7,3937.8,0.983,0.982,0.999,0.998,1.001,1,1.006,1,1.001,1,1.001,1,1.001,1,1.006,1,0.988,0.999,0.982,0.999,0.988,0.998,0.988,0.996,0.983,0.974,0.983,1,1.006,1,0.983,0.974,65.3,61.5
0.0210,0.0013,137.7,10.64,6.17,1105.9,1754.8,2656.7,3938.2,0.981,0.977,0.998,0.996,1.001,1,1.007,1,1.001,1,1.001,1,1.001,1,1.007,1,0.986,0.999,0.98,0.998,0.986,0.997,0.986,0.994,0.981,0.966,0.981,1,1.007,1,0.981,0.966,65.3,61.5
0.0240,0.0017,154.2,10.63,6.17,1105.9,1754.9,2656.7,3938.7,0.978,0.972,0.997,0.995,1.002,1,1.008,1,1.002,1,1.002,1,1.002,1,1.008,1,0.984,0.998,0.978,0.998,0.984,0.996,0.984,0.993,0.978,0.958,0.978,1,1.007,1,0.978,0.958,65.4,61.6
0.0260,0.0020,170.9,10.62,6.19,1105.9,1755,2656.7,3939.2,0.976,0.966,0.996,0.993,1.002,1,1.008,1,1.002,1,1.002,1,1.002,1,1.008,1,0.982,0.998,0.975,0.997,0.982,0.996,0.982,0.992,0.976,0.949,0.976,1,1.008,1,0.976,0.949,65.4,61.6
0.0290,0.0025,187.6,10.62,6.19,1105.9,1755.1,2656.7,3939.9,0.974,0.96,0.994,0.992,1.002,1,1.009,1,1.002,1,1.002,1,1.003,1,1.009,1,0.98,0.997,0.973,0.997,0.98,0.995,0.98,0.99,0.974,0.939,0.974,1,1.009,1,0.974,0.939,65.5,61.7
0.0320,0.0030,204.2,10.63,6.19,1105.9,1755.3,2656.7,3940.6,0.972,0.953,0.992,0.989,1.003,1,1.01,1,1.003,1,1.003,1,1.003,1,1.01,1,0.979,0.996,0.971,0.996,0.979,0.994,0.979,0.988,0.972,0.929,0.972,1,1.01,1,0.972,0.929,65.5,61.7
0.0340,0.0034,221.1,10.62,6.18,1105.9,1755.5,2656.7,3941.4,0.97,0.946,0.99,0.986,1.004,1,1.011,1,1.004,1,1.004,1,1.004,1,1.011,1,0.977,0.996,0.969,0.995,0.977,0.993,0.977,0.986,0.97,0.918,0.97,1,1.01,1,0.97,0.918,65.6,61.8
0.0370,0.0040,237.6,10.63,6.18,1105.9,1755.7,2656.7,3942.2,0.967,0.938,0.988,0.983,1.004,1,1.012,1,1.004,1,1.004,1,1.004,1,1.012,1,0.975,0.995,0.967,0.994,0.975,0.992,0.975,0.984,0.967,0.907,0.967,1,1.011,1,0.967,0.907,65.6,61.8
0.0390,0.0044,254.4,10.62,6.2,1105.9,1755.9,2656.7,3943.2,0.965,0.93,0.985,0.98,1.005,1,1.012,1,1.005,1,1.005,1,1.005,1,1.012,1,0.973,0.994,0.965,0.993,0.973,0.991,0.973,0.982,0.965,0.895,0.965,1,1.012,1,0.965,0.895,65.7,61.9
