pr,ease,t_ms,seamI_deg,seamO_deg,inner_rMin,inner_rMax,outer_rMin,outer_rMax,inbox_arcFrac,inbox_alphaFrac,thread_arc,thread_noteArc,anchor-sketch_arc,anchor-sketch_noteArc,keystone_arc,keystone_noteArc,cinder-query_arc,cinder-query_noteArc,spec_arc,spec_noteArc,isthmus_arc,isthmus_noteArc,cinder-plan_arc,cinder-plan_noteArc,jigsaw_arc,jigsaw_noteArc,impost_arc,impost_noteArc,anchor-query_arc,anchor-query_noteArc,beacon-memo_arc,beacon-memo_noteArc,dado_arc,dado_noteArc,anchor-plan_arc,anchor-plan_noteArc,gantry_arc,gantry_noteArc,yoke_arc,yoke_noteArc,(untagged)_arc,(untagged)_noteArc,anchor-memo_arc,anchor-memo_noteArc,ferrule_arc,ferrule_noteArc,transom_arc,transom_noteArc,archive_arc,archive_noteArc,anchor-log_arc,anchor-log_noteArc,beacon-log_arc,beacon-log_noteArc,parapet_arc,parapet_noteArc,cadence_arc,cadence_noteArc,louver_arc,louver_noteArc,anchor-index_arc,anchor-index_noteArc,ballast_arc,ballast_noteArc,hasp_arc,hasp_noteArc,anchor-guide_arc,anchor-guide_noteArc,beacon-index_arc,beacon-index_noteArc,dowel_arc,dowel_noteArc,cinder-log_arc,cinder-log_noteArc,eaves_arc,eaves_noteArc,cinder-index_arc,cinder-index_noteArc,dovetail_arc,dovetail_noteArc,cinder-guide_arc,cinder-guide_noteArc,cinder-field_arc,cinder-field_noteArc,abacus_arc,abacus_noteArc,cinder-draft_arc,cinder-draft_noteArc,beacon-guide_arc,beacon-guide_noteArc,cinder-brief_arc,cinder-brief_noteArc,review_arc,review_noteArc,anchor-field_arc,anchor-field_noteArc,beacon-trace_arc,beacon-trace_noteArc,beacon-field_arc,beacon-field_noteArc,beacon-sketch_arc,beacon-sketch_noteArc,inlay_arc,inlay_noteArc,anchor-draft_arc,anchor-draft_noteArc,beacon-brief_arc,beacon-brief_noteArc,rafter_arc,rafter_noteArc,eyelet_arc,eyelet_noteArc,beacon-query_arc,beacon-query_noteArc,wicket_arc,wicket_noteArc,anchor-trace_arc,anchor-trace_noteArc,nacelle_arc,nacelle_noteArc,reveal_arc,reveal_noteArc,beacon-plan_arc,beacon-plan_noteArc,nosing_arc,nosing_noteArc,jamb_arc,jamb_noteArc,embrasure_arc,embrasure_noteArc,halyard_arc,halyard_noteArc,apse_arc,apse_noteArc,uprise_arc,uprise_noteArc,quoin_arc,quoin_noteArc,mullion_arc,mullion_noteArc,inglenook_arc,inglenook_noteArc,escarp_arc,escarp_noteArc,alcove_arc,alcove_noteArc,wainscot_arc,wainscot_noteArc,beacon-draft_arc,beacon-draft_noteArc,tiller_arc,tiller_noteArc,gusset_arc,gusset_noteArc,anchor-brief_arc,anchor-brief_noteArc,quarry_arc,quarry_noteArc,cupola_arc,cupola_noteArc,plinth_arc,plinth_noteArc,undercroft_arc,undercroft_noteArc,mortise_arc,mortise_noteArc,pilaster_arc,pilaster_noteArc,lintel_arc,lintel_noteArc,lancet_arc,lancet_noteArc,gable_arc,gable_noteArc,corbel_arc,corbel_noteArc,weir_arc,weir_noteArc,soffit_arc,soffit_noteArc,oriel_arc,oriel_noteArc,kerf_arc,kerf_noteArc,grommet_arc,grommet_noteArc,cistern_arc,cistern_noteArc,yardarm_arc,yardarm_noteArc,undertow_arc,undertow_noteArc,knurl_arc,knurl_noteArc,spandrel_arc,spandrel_noteArc,fascia_arc,fascia_noteArc,zinc_arc,zinc_noteArc,obelisk_arc,obelisk_noteArc,tracery_arc,tracery_noteArc,ogee_arc,ogee_noteArc,keel_arc,keel_noteArc,finial_arc,finial_noteArc,buttress_arc,buttress_noteArc,valance_arc,valance_noteArc,rebate_arc,rebate_noteArc,newel_arc,newel_noteArc,joist_arc,joist_noteArc,flange_arc,flange_noteArc,brazier_arc,brazier_noteArc,xylem_arc,xylem_noteArc,hinge_arc,hinge_noteArc,dormer_arc,dormer_noteArc,verge_arc,verge_noteArc,quirk_arc,quirk_noteArc,muntin_arc,muntin_noteArc,zephyr_arc,zephyr_noteArc,vellum_arc,vellum_noteArc,delta-draft_arc,delta-draft_noteArc,delta-brief_arc,delta-brief_noteArc,cinder-trace_arc,cinder-trace_noteArc,cinder-sketch_arc,cinder-sketch_noteArc,cinder-memo_arc,cinder-memo_noteArc
0.0000,0.0000,0,93.5,2.01,1052.2,1756.7,2761.3,3721.3,1,1,3.3,3.3,3.3,3.3,1.9,1.5,1.2,1.2,8.9,7.9,2.6,1.7,1.2,1.2,1.9,1.5,1.2,1.2,3.3,3.3,2.6,1.7,1.2,1.2,3.3,2,2.6,1.7,1.2,1.2,19,18.1,3.3,1.7,2.6,1.7,1.2,1.2,12,11.1,3.3,3.3,2.6,1.7,1.2,1.2,2.6,1.7,1.2,1.2,3.3,3.3,2.6,1.7,1.2,1.2,3.3,3.3,2.6,1.7,1.2,1.2,1.2,1.2,2.6,1.7,1.2,1.2,2.6,1.7,1.2,1.2,1.2,1.2,2.6,1.7,1.2,1.2,3.3,3.3,1.2,1.2,15,14.3,3.3,3.3,1.2,1.2,3.3,2,1.2,1.2,1.2,1.2,3.3,2,3.3,3.3,1.9,1.5,1.2,1.2,1.9,1.5,1.2,1.2,3.3,3.3,1.9,1.5,1.2,1.2,1.9,1.5,1.2,1.2,1.2,1.2,1.2,1.2,2.6,1.7,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,3.3,1.7,1.9,1.5,1.2,1.2,3.3,1.7,1.9,1.5,1.2,1.2,1.9,1.5,1.2,1.2,1.9,1.5,1.2,1.2,1.9,1.5,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.9,1.5,1.2,1.2,1.2,1.2,1.9,1.5,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2
0.0030,0.0000,13.9,93.5,2.01,1052.2,1756.7,2761.3,3721.3,1,1,3.3,3.3,3.3,3.3,1.9,1.5,1.2,1.2,9,8,2.6,1.7,1.2,1.2,1.9,1.5,1.2,1.2,3.3,3.3,2.6,1.7,1.2,1.2,3.3,2,2.6,1.7,1.2,1.2,19,18.2,3.3,1.7,2.6,1.7,1.2,1.2,12,11.1,3.3,3.3,2.6,1.7,1.2,1.2,2.6,1.7,1.2,1.2,3.3,3.3,2.6,1.7,1.2,1.2,3.3,3.3,2.6,1.7,1.2,1.2,1.2,1.2,2.6,1.7,1.2,1.2,2.6,1.7,1.2,1.2,1.2,1.2,2.6,1.7,1.2,1.2,3.3,3.3,1.2,1.2,15,14.3,3.3,3.3,1.2,1.2,3.3,2,1.2,1.2,1.2,1.2,3.3,2,3.3,3.3,1.9,1.5,1.2,1.2,1.9,1.5,1.2,1.2,3.3,3.3,1.9,1.5,1.2,1.2,1.9,1.5,1.2,1.2,1.2,1.2,1.2,1.2,2.6,1.7,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,3.3,1.7,1.9,1.5,1.2,1.2,3.3,1.7,1.9,1.5,1.2,1.2,1.9,1.5,1.2,1.2,1.9,1.5,1.2,1.2,1.9,1.5,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.9,1.5,1.2,1.2,1.2,1.2,1.9,1.5,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2
0.0050,0.0001,28.1,93.5,2.01,1052.2,1756.7,2761.3,3721.3,0.999,1,3.3,3.3,3.3,3.3,1.9,1.5,1.2,1.2,9,8,2.6,1.7,1.2,1.2,1.9,1.5,1.2,1.2,3.3,3.3,2.6,1.7,1.2,1.2,3.3,2,2.6,1.7,1.2,1.2,19.1,18.2,3.3,1.7,2.6,1.7,1.2,1.2,12,11.1,3.3,3.3,2.6,1.7,1.2,1.2,2.6,1.7,1.2,1.2,3.3,3.3,2.6,1.7,1.2,1.2,3.3,3.3,2.6,1.7,1.2,1.2,1.2,1.2,2.6,1.7,1.2,1.2,2.6,1.7,1.2,1.2,1.2,1.2,2.6,1.7,1.2,1.2,3.3,3.3,1.2,1.2,15,14.4,3.3,3.3,1.2,1.2,3.3,2,1.2,1.2,1.2,1.2,3.3,2,3.3,3.3,1.9,1.5,1.2,1.2,1.9,1.5,1.2,1.2,3.3,3.3,1.9,1.5,1.2,1.2,1.9,1.5,1.2,1.2,1.2,1.2,1.2,1.2,2.6,1.7,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,3.3,1.7,1.9,1.5,1.2,1.2,3.3,1.7,1.9,1.5,1.2,1.2,1.9,1.5,1.2,1.2,1.9,1.5,1.2,1.2,1.9,1.5,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.9,1.5,1.2,1.2,1.2,1.2,1.9,1.5,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2
0.0070,0.0001,45.4,93.5,2.01,1052.2,1756.7,2761.3,3721.3,0.999,1,3.3,3.3,3.3,3.3,1.9,1.5,1.2,1.2,9,8,2.6,1.7,1.2,1.2,1.9,1.5,1.2,1.2,3.3,3.3,2.6,1.7,1.2,1.2,3.3,2,2.6,1.7,1.2,1.2,19.1,18.3,3.3,1.7,2.6,1.7,1.2,1.2,12,11.1,3.3,3.3,2.6,1.7,1.2,1.2,2.6,1.7,1.2,1.2,3.3,3.3,2.6,1.7,1.2,1.2,3.3,3.3,2.6,1.7,1.2,1.2,1.2,1.2,2.6,1.7,1.2,1.2,2.6,1.7,1.2,1.2,1.2,1.2,2.6,1.7,1.2,1.2,3.3,3.3,1.2,1.2,15,14.4,3.3,3.3,1.2,1.2,3.3,2,1.2,1.2,1.2,1.2,3.3,2,3.3,3.3,1.9,1.5,1.2,1.2,1.9,1.5,1.2,1.2,3.3,3.3,1.9,1.5,1.2,1.2,1.9,1.5,1.2,1.2,1.2,1.2,1.2,1.2,2.6,1.7,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,3.3,1.7,1.9,1.5,1.2,1.2,3.3,1.7,1.9,1.5,1.2,1.2,1.9,1.5,1.2,1.2,1.9,1.5,1.2,1.2,1.9,1.5,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.9,1.5,1.2,1.2,1.2,1.2,1.9,1.5,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2
0.0100,0.0003,61.5,93.5,2.01,1052.2,1756.7,2761.3,3721.3,0.999,1,3.3,3.3,3.3,3.3,1.9,1.5,1.2,1.2,9,8,2.6,1.7,1.2,1.2,1.9,1.5,1.2,1.2,3.3,3.3,2.6,1.7,1.2,1.2,3.3,2,2.6,1.7,1.2,1.2,19.1,18.3,3.3,1.7,2.6,1.7,1.2,1.2,12,11.1,3.3,3.3,2.6,1.7,1.2,1.2,2.6,1.7,1.2,1.2,3.3,3.3,2.6,1.7,1.2,1.2,3.3,3.3,2.6,1.7,1.2,1.2,1.2,1.2,2.6,1.7,1.2,1.2,2.6,1.7,1.2,1.2,1.2,1.2,2.6,1.7,1.2,1.2,3.3,3.3,1.2,1.2,15.1,14.4,3.3,3.3,1.2,1.2,3.3,2,1.2,1.2,1.2,1.2,3.3,2,3.3,3.3,1.9,1.5,1.2,1.2,1.9,1.5,1.2,1.2,3.3,3.3,1.9,1.5,1.2,1.2,1.9,1.5,1.2,1.2,1.2,1.2,1.2,1.2,2.6,1.7,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,3.3,1.7,1.9,1.5,1.2,1.2,3.3,1.7,1.9,1.5,1.2,1.2,1.9,1.5,1.2,1.2,1.9,1.5,1.2,1.2,1.9,1.5,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.9,1.5,1.2,1.2,1.2,1.2,1.9,1.5,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2
0.0120,0.0004,78.1,93.5,2.01,1052.2,1756.7,2761.3,3721.4,0.998,1,3.3,3.3,3.3,3.3,1.9,1.5,1.2,1.2,9,8,2.6,1.7,1.2,1.2,1.9,1.5,1.2,1.2,3.3,3.3,2.6,1.7,1.2,1.2,3.3,2,2.6,1.7,1.2,1.2,19.2,18.3,3.3,1.7,2.6,1.7,1.2,1.2,12.1,11.2,3.3,3.3,2.6,1.7,1.2,1.2,2.6,1.7,1.2,1.2,3.3,3.3,2.6,1.7,1.2,1.2,3.3,3.3,2.6,1.7,1.2,1.2,1.2,1.2,2.6,1.7,1.2,1.2,2.6,1.7,1.2,1.2,1.2,1.2,2.6,1.7,1.2,1.2,3.3,3.3,1.2,1.2,15.1,14.4,3.3,3.3,1.2,1.2,3.3,2,1.2,1.2,1.2,1.2,3.3,2,3.3,3.3,1.9,1.5,1.2,1.2,1.9,1.5,1.2,1.2,3.3,3.3,1.9,1.5,1.2,1.2,1.9,1.5,1.2,1.2,1.2,1.2,1.2,1.2,2.6,1.7,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,3.3,1.7,1.9,1.5,1.2,1.2,3.3,1.7,1.9,1.5,1.2,1.2,1.9,1.5,1.2,1.2,1.9,1.5,1.2,1.2,1.9,1.5,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.9,1.5,1.2,1.2,1.2,1.2,1.9,1.5,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2
0.0150,0.0007,94.7,93.5,2,1052.2,1756.7,2761.3,3721.5,0.998,1,3.3,3.3,3.3,3.3,1.9,1.5,1.2,1.2,9.1,8,2.6,1.7,1.2,1.2,1.9,1.5,1.2,1.2,3.3,3.3,2.6,1.7,1.2,1.2,3.3,2,2.6,1.7,1.2,1.2,19.2,18.4,3.3,1.7,2.6,1.7,1.2,1.2,12.1,11.2,3.3,3.3,2.6,1.7,1.2,1.2,2.6,1.7,1.2,1.2,3.3,3.3,2.6,1.7,1.2,1.2,3.3,3.3,2.6,1.7,1.2,1.2,1.2,1.2,2.6,1.7,1.2,1.2,2.6,1.7,1.2,1.2,1.2,1.2,2.6,1.7,1.2,1.2,3.3,3.3,1.2,1.2,15.2,14.5,3.3,3.3,1.2,1.2,3.3,2,1.2,1.2,1.2,1.2,3.3,2,3.3,3.3,1.9,1.5,1.2,1.2,1.9,1.5,1.2,1.2,3.3,3.3,1.9,1.5,1.2,1.2,1.9,1.5,1.2,1.2,1.2,1.2,1.2,1.2,2.6,1.7,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,3.3,1.7,1.9,1.5,1.2,1.2,3.3,1.7,1.9,1.5,1.2,1.2,1.9,1.5,1.2,1.2,1.9,1.5,1.2,1.2,1.9,1.5,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.9,1.5,1.2,1.2,1.2,1.2,1.9,1.5,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2
0.0170,0.0009,111.5,93.5,2,1052.2,1756.7,2761.3,3721.6,0.997,1,3.3,3.3,3.3,3.3,1.9,1.5,1.2,1.2,9.1,8.1,2.6,1.7,1.2,1.2,1.9,1.5,1.2,1.2,3.3,3.3,2.6,1.7,1.2,1.2,3.3,2,2.6,1.7,1.2,1.2,19.3,18.4,3.3,1.7,2.6,1.7,1.2,1.2,12.1,11.2,3.3,3.3,2.6,1.7,1.2,1.2,2.6,1.7,1.2,1.2,3.3,3.3,2.6,1.7,1.2,1.2,3.3,3.3,2.6,1.7,1.2,1.2,1.2,1.2,2.6,1.7,1.2,1.2,2.6,1.7,1.2,1.2,1.2,1.2,2.6,1.7,1.2,1.2,3.3,3.3,1.2,1.2,15.2,14.5,3.3,3.3,1.2,1.2,3.3,2,1.2,1.2,1.2,1.2,3.3,2,3.3,3.3,1.9,1.5,1.2,1.2,1.9,1.5,1.2,1.2,3.3,3.3,1.9,1.5,1.2,1.2,1.9,1.5,1.2,1.2,1.2,1.2,1.2,1.2,2.6,1.7,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,3.3,1.7,1.9,1.5,1.2,1.2,3.3,1.7,1.9,1.5,1.2,1.2,1.9,1.5,1.2,1.2,1.9,1.5,1.2,1.2,1.9,1.5,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.9,1.5,1.2,1.2,1.2,1.2,1.9,1.5,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2
0.0200,0.0012,128.2,93.5,2,1052.2,1756.7,2761.3,3721.7,0.997,0.999,3.3,3.3,3.3,3.3,1.9,1.5,1.2,1.2,9.1,8.1,2.6,1.7,1.2,1.2,1.9,1.5,1.2,1.2,3.3,3.3,2.6,1.7,1.2,1.2,3.3,2,2.6,1.7,1.2,1.2,19.3,18.5,3.3,1.7,2.6,1.7,1.2,1.2,12.2,11.3,3.3,3.3,2.6,1.7,1.2,1.2,2.6,1.7,1.2,1.2,3.3,3.3,2.6,1.7,1.2,1.2,3.3,3.3,2.6,1.7,1.2,1.2,1.2,1.2,2.6,1.7,1.2,1.2,2.6,1.7,1.2,1.2,1.2,1.2,2.6,1.7,1.2,1.2,3.3,3.3,1.2,1.2,15.2,14.6,3.3,3.3,1.2,1.2,3.3,2,1.2,1.2,1.2,1.2,3.3,2,3.3,3.3,1.9,1.5,1.2,1.2,1.9,1.5,1.2,1.2,3.3,3.3,1.9,1.5,1.2,1.2,1.9,1.5,1.2,1.2,1.2,1.2,1.2,1.2,2.6,1.7,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,3.3,1.7,1.9,1.5,1.2,1.2,3.3,1.7,1.9,1.5,1.2,1.2,1.9,1.5,1.2,1.2,1.9,1.5,1.2,1.2,1.9,1.5,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.9,1.5,1.2,1.2,1.2,1.2,1.9,1.5,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2
0.0230,0.0016,144.7,93.5,2,1052.2,1756.7,2761.4,3721.8,0.996,0.999,3.3,3.3,3.3,3.3,1.9,1.5,1.2,1.2,9.1,8.1,2.6,1.7,1.2,1.2,1.9,1.5,1.2,1.2,3.3,3.3,2.6,1.7,1.2,1.2,3.3,2,2.6,1.7,1.2,1.2,19.3,18.5,3.3,1.7,2.6,1.7,1.2,1.2,12.2,11.3,3.3,3.3,2.6,1.7,1.2,1.2,2.6,1.7,1.2,1.2,3.3,3.3,2.6,1.7,1.2,1.2,3.3,3.3,2.6,1.7,1.2,1.2,1.2,1.2,2.6,1.7,1.2,1.2,2.6,1.7,1.2,1.2,1.2,1.2,2.6,1.7,1.2,1.2,3.3,3.3,1.2,1.2,15.3,14.6,3.3,3.3,1.2,1.2,3.3,2,1.2,1.2,1.2,1.2,3.3,2,3.3,3.3,1.9,1.5,1.2,1.2,1.9,1.5,1.2,1.2,3.3,3.3,1.9,1.5,1.2,1.2,1.9,1.5,1.2,1.2,1.2,1.2,1.2,1.2,2.6,1.7,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,3.3,1.7,1.9,1.5,1.2,1.2,3.3,1.7,1.9,1.5,1.2,1.2,1.9,1.5,1.2,1.2,1.9,1.5,1.2,1.2,1.9,1.5,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.9,1.5,1.2,1.2,1.2,1.2,1.9,1.5,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2
