pr,ease,t_ms,seamI_deg,seamO_deg,inner_rMin,inner_rMax,outer_rMin,outer_rMax,03 - Resources_arcFrac,03 - Resources_alphaFrac,00 - Inbox_arc,00 - Inbox_noteArc,01 - Projects_arc,01 - Projects_noteArc,02 - Areas_arc,02 - Areas_noteArc,04 - Daily Notes_arc,04 - Daily Notes_noteArc,05 - Meeting Notes_arc,05 - Meeting Notes_noteArc,06 - Zettelkasten_arc,06 - Zettelkasten_noteArc,07 - Weekly Reviews_arc,07 - Weekly Reviews_noteArc,08 - Archive_arc,08 - Archive_noteArc,09 - Maps of Content_arc,09 - Maps of Content_noteArc,10 - Literature Notes_arc,10 - Literature Notes_noteArc,11 - Clippings_arc,11 - Clippings_noteArc,12 - Journal_arc,12 - Journal_noteArc,13 - Someday Maybe_arc,13 - Someday Maybe_noteArc,14 - Reading List_arc,14 - Reading List_noteArc,15 - Courses_arc,15 - Courses_noteArc,(vault root)_arc,(vault root)_noteArc
0.0000,0.0000,0,13.79,6.17,1105.9,1728.5,2656.7,3936.7,0,0,4,3.4,65.9,62.7,47.7,44.7,65.5,62.1,131.6,128.8,65.9,63.3,32.7,29.8,94.5,90.1,59.8,60.9,11.4,10.7,30,31.4,15.1,16.1,4,3.1,4,2.2,64.7,59.3,4,2.4
0.0010,0.0000,12,13.79,6.17,1105.9,1728.5,2656.7,3936.7,0,0,4,3.4,65.9,62.7,47.7,44.7,65.5,62.1,131.6,128.8,65.9,63.3,32.7,29.8,94.5,90.1,59.8,60.9,11.4,10.7,30,31.4,15.1,16.1,4,3.1,4,2.2,64.7,59.3,4,2.4
0.0030,0.0000,28.4,13.79,6.17,1105.9,1728.5,2656.7,3936.7,0.002,0,4,3.4,65.9,62.7,47.7,44.7,65.5,62.1,131.6,128.8,65.9,63.3,32.7,29.8,94.5,90.1,59.8,60.9,11.4,10.7,30,31.4,15.1,16.1,4,3.1,4,2.2,64.7,59.3,4,2.4
0.0060,0.0001,45.4,13.79,6.17,1105.9,1728.5,2656.7,3936.7,0.002,0,4,3.4,65.9,62.7,47.7,44.7,65.5,62.1,131.6,128.8,65.9,63.3,32.7,29.8,94.5,90.1,59.8,60.9,11.4,10.7,30,31.4,15.1,16.1,4,3.1,4,2.2,64.7,59.3,4,2.4
0.0080,0.0002,62.3,13.79,6.17,1105.9,1728.5,2656.7,3936.7,0.002,0,4,3.4,65.9,62.7,47.7,44.7,65.5,62.1,131.6,128.8,65.9,63.3,32.7,29.8,94.5,90.1,59.8,60.9,11.4,10.7,30,31.4,15.1,16.1,4,3.1,4,2.2,64.7,59.3,4,2.4
0.0110,0.0004,78.4,13.79,6.17,1105.9,1728.5,2656.7,3936.7,0.002,0,4,3.4,65.9,62.7,47.7,44.7,65.5,62.1,131.6,128.8,65.9,63.3,32.7,29.8,94.5,90.1,59.8,60.9,11.4,10.7,30,31.4,15.1,16.1,4,3.1,4,2.2,64.7,59.3,4,2.4
0.0130,0.0005,95.3,13.79,6.17,1105.9,1728.4,2656.7,3936.7,0.002,0,4,3.4,65.9,62.7,47.7,44.7,65.5,62.1,131.6,128.8,65.9,63.3,32.7,29.8,94.5,90.1,59.8,60.9,11.4,10.7,30,31.4,15.1,16.1,4,3.1,4,2.2,64.7,59.3,4,2.4
0.0160,0.0008,111.8,13.79,6.17,1105.9,1728.4,2656.7,3936.7,0.002,0,4,3.4,65.9,62.7,47.7,44.7,65.5,62.1,131.6,128.8,65.9,63.3,32.7,29.8,94.5,90.1,59.8,60.9,11.4,10.7,30,31.4,15.1,16.1,4,3.1,4,2.2,64.7,59.3,4,2.4
0.0190,0.0011,129.2,13.79,6.17,1105.9,1728.4,2656.7,3936.7,0.002,0,4,3.4,65.9,62.7,47.7,44.7,65.5,62.1,131.6,128.8,65.9,63.3,32.7,29.8,94.5,90.1,59.8,60.9,11.4,10.7,30,31.4,15.1,16.1,4,3.1,4,2.2,64.7,59.3,4,2.4
0.0210,0.0013,145.7,13.8,6.17,1105.9,1728.4,2656.7,3936.7,0.002,0,4,3.4,65.9,62.7,47.7,44.7,65.5,62.1,131.6,128.8,65.9,63.3,32.7,29.8,94.5,90.1,59.8,60.9,11.4,10.7,30,31.4,15.1,16.1,4,3.1,4,2.2,64.6,59.3,4,2.4
0.0240,0.0017,162,13.8,6.17,1105.9,1728.3,2656.7,3936.7,0.003,0,4,3.4,65.9,62.7,47.7,44.7,65.5,62.1,131.6,128.8,65.9,63.3,32.7,29.8,94.5,90.1,59.8,60.9,11.4,10.7,30,31.4,15.1,16.1,4,3.1,4,2.2,64.6,59.3,4,2.4
0.0270,0.0021,178.5,13.78,6.17,1105.9,1728.3,2656.7,3936.7,0.003,0,4,3.4,65.9,62.7,47.7,44.7,65.5,62.1,131.6,128.8,65.9,63.3,32.7,29.8,94.4,90.1,59.8,60.9,11.4,10.7,30,31.4,15.1,16.1,4,3.1,4,2.2,64.6,59.3,4,2.4
0.0290,0.0025,195.4,13.79,6.17,1105.9,1728.3,2656.7,3936.7,0.003,0.001,4,3.4,65.9,62.7,47.7,44.7,65.5,62.1,131.6,128.8,65.9,63.3,32.7,29.8,94.4,90.1,59.8,60.8,11.4,10.7,30,31.4,15.1,16.1,4,3.1,4,2.2,64.6,59.2,4,2.4
0.0320,0.0030,211.9,13.79,6.17,1105.9,1728.2,2656.7,3936.7,0.004,0.001,4,3.4,65.9,62.7,47.7,44.7,65.5,62.1,131.6,128.8,65.9,63.3,32.7,29.8,94.4,90.1,59.8,60.8,11.4,10.7,30,31.4,15.1,16.1,4,3.1,4,2.2,64.6,59.2,4,2.4
0.0340,0.0034,228.5,13.79,6.17,1105.9,1728.2,2656.7,3936.7,0.004,0.001,4,3.4,65.9,62.7,47.7,44.7,65.5,62.1,131.6,128.8,65.9,63.3,32.7,29.8,94.4,90,59.8,60.8,11.4,10.7,30,31.4,15.1,16.1,4,3.1,4,2.2,64.6,59.2,4,2.4
0.0370,0.0040,245.5,13.8,6.17,1105.9,1728.1,2656.7,3936.7,0.005,0.001,4,3.4,65.9,62.7,47.7,44.7,65.5,62.1,131.6,128.8,65.9,63.3,32.7,29.8,94.4,90,59.8,60.8,11.4,10.7,30,31.4,15.1,16.1,4,3.1,4,2.2,64.6,59.2,4,2.4
0.0400,0.0047,262,13.78,6.17,1105.9,1728.1,2656.7,3936.7,0.006,0.001,4,3.4,65.9,62.7,47.7,44.7,65.5,62.1,131.6,128.8,65.9,63.3,32.7,29.8,94.4,90,59.8,60.8,11.4,10.7,30,31.4,15.1,16.1,4,3.1,4,2.2,64.6,59.2,4,2.4
0.0420,0.0051,278.8,13.79,6.17,1105.9,1728,2656.7,3936.7,0.006,0.001,4,3.4,65.9,62.7,47.7,44.7,65.5,62.1,131.6,128.8,65.9,63.3,32.7,29.8,94.4,90,59.8,60.8,11.4,10.7,30,31.4,15.1,16.1,4,3.1,4,2.2,64.6,59.2,4,2.4
0.0450,0.0059,295.6,13.79,6.17,1105.9,1727.9,2656.7,3936.7,0.007,0.002,4,3.4,65.9,62.7,47.7,44.7,65.5,62.1,131.6,128.8,65.9,63.3,32.7,29.8,94.4,90,59.7,60.8,11.4,10.7,30,31.4,15.1,16.1,4,3.1,4,2.2,64.6,59.2,4,2.4
0.0470,0.0064,312.4,13.79,6.17,1105.9,1727.9,2656.7,3936.7,0.008,0.002,4,3.4,65.9,62.7,47.7,44.7,65.4,62.1,131.6,128.8,65.9,63.3,32.7,29.8,94.3,90,59.7,60.8,11.4,10.7,30,31.4,15.1,16.1,4,3.1,4,2.2,64.6,59.2,4,2.4
0.0500,0.0073,328.8,13.78,6.17,1105.9,1727.8,2656.7,3936.7,0.009,0.002,4,3.4,65.9,62.7,47.7,44.7,65.4,62.1,131.6,128.8,65.9,63.3,32.7,29.8,94.3,90,59.7,60.8,11.4,10.7,30,31.4,15.1,16.1,4,3.1,4,2.2,64.6,59.2,4,2.4
0.0530,0.0081,345.5,13.79,6.17,1105.9,1727.7,2656.7,3936.7,0.01,0.002,4,3.4,65.9,62.7,47.7,44.7,65.4,62,131.6,128.8,65.9,63.3,32.7,29.8,94.3,89.9,59.7,60.8,11.4,10.7,29.9,31.3,15.1,16.1,4,3.1,4,2.2,64.5,59.2,4,2.4
0.0550,0.0087,362.4,13.79,6.17,1105.9,1727.6,2656.7,3936.7,0.011,0.003,4,3.4,65.9,62.7,47.7,44.7,65.4,62,131.6,128.8,65.9,63.3,32.7,29.8,94.3,89.9,59.7,60.7,11.4,10.7,29.9,31.3,15.1,16.1,4,3.1,4,2.2,64.5,59.2,4,2.4
0.0580,0.0097,378.8,13.8,6.17,1105.9,1727.5,2656.7,3936.7,0.013,0.003,4,3.4,65.9,62.7,47.7,44.7,65.4,62,131.6,128.8,65.9,63.3,32.7,29.8,94.3,89.9,59.7,60.7,11.4,10.7,29.9,31.3,15.1,16,4,3.1,4,2.2,64.5,59.1,4,2.4
0.0610,0.0107,395.5,13.78,6.17,1105.9,1727.4,2656.7,3936.7,0.014,0.003,4,3.4,65.9,62.7,47.7,44.7,65.4,62,131.6,128.8,65.9,63.3,32.7,29.8,94.2,89.9,59.6,60.7,11.4,10.7,29.9,31.3,15.1,16,4,3.1,4,2.2,64.5,59.1,4,2.4
0.0630,0.0114,412.7,13.79,6.17,1105.9,1727.3,2656.7,3936.7,0.015,0.004,4,3.4,65.9,62.7,47.7,44.7,65.3,62,131.6,128.8,65.9,63.3,32.7,29.8,94.2,89.8,59.6,60.7,11.4,10.7,29.9,31.3,15,16,4,3.1,4,2.2,64.5,59.1,4,2.4
0.0660,0.0125,428.8,13.77,6.17,1105.9,1727.2,2656.7,3936.7,0.017,0.004,4,3.4,65.9,62.7,47.7,44.7,65.3,62,131.6,128.8,65.9,63.3,32.7,29.8,94.2,89.8,59.6,60.7,11.4,10.7,29.9,31.3,15,16,4,3.1,4,2.2,64.5,59.1,4,2.4
0.0680,0.0132,445.5,13.78,6.17,1105.9,1727.1,2656.7,3936.7,0.019,0.005,4,3.4,65.9,62.7,47.7,44.7,65.3,61.9,131.6,128.8,65.9,63.3,32.7,29.8,94.1,89.8,59.6,60.6,11.4,10.7,29.9,31.3,15,16,4,3.1,4,2.2,64.4,59.1,4,2.4
